PID  Mass   PID2  Mass2       rhotu  rhotc     rhott   cross_section   Err(cross-section) 
a0   250      s0    200         0.1     0.0      0.0      4.577e-03       6.891e-04 
a0   250      s0    200         0.4     0.0      0.0      7.501e-02       1.081e-02 
a0   250      s0    200         0.8     0.0      0.0      3.759e-01       4.752e-02 
a0   250      s0    200         1.0     0.0      0.0      7.015e-01       7.453e-02 
a0   250      s0    200         0.0     0.1      0.0      6.288e-04       7.766e-05 
a0   250      s0    200         0.0     0.4      0.0      1.160e-02       1.295e-03 
a0   250      s0    200         0.0     0.8      0.0      3.602e-02       4.939e-03 
a0   250      s0    200         0.0     1.0      0.0      6.982e-02       7.962e-03 
a0   300      s0    250         0.1     0.0      0.0      6.467e-03       7.872e-04 
a0   300      s0    250         0.4     0.0      0.0      7.858e-02       1.157e-02 
a0   300      s0    250         0.8     0.0      0.0      3.703e-01       4.892e-02 
a0   300      s0    250         1.0     0.0      0.0      7.034e-01       7.766e-02 
a0   300      s0    250         0.0     0.1      0.0      6.718e-04       8.638e-05 
a0   300      s0    250         0.0     0.4      0.0      9.750e-03       1.282e-03 
a0   300      s0    250         0.0     0.8      0.0      4.636e-02       5.606e-03 
a0   300      s0    250         0.0     1.0      0.0      6.556e-02       8.610e-03 
a0   350      s0    300         0.1     0.0      0.0      3.927e-03       5.904e-04 
a0   350      s0    300         0.4     0.0      0.0      6.781e-02       9.537e-03 
a0   350      s0    300         0.8     0.0      0.0      3.531e-01       4.039e-02 
a0   350      s0    300         1.0     0.0      0.0      3.850e-01       5.665e-02 
a0   350      s0    300         0.0     0.1      0.0      6.799e-04       6.730e-05 
a0   350      s0    300         0.0     0.4      0.0      7.866e-03       1.013e-03 
a0   350      s0    300         0.0     0.8      0.0      3.847e-02       4.209e-03 
a0   350      s0    300         0.0     1.0      0.0      4.149e-02       5.948e-03 
a0   400      s0    350         0.1     0.0      0.0      3.005e-03       4.518e-04 
a0   400      s0    350         0.4     0.0      0.0      4.615e-02       7.105e-03 
a0   400      s0    350         0.8     0.0      0.0      2.427e-01       3.072e-02 
a0   400      s0    350         1.0     0.0      0.0      3.479e-01       4.508e-02 
a0   400      s0    350         0.0     0.1      0.0      3.569e-04       4.586e-05 
a0   400      s0    350         0.0     0.4      0.0      4.775e-03       6.992e-04 
a0   400      s0    350         0.0     0.8      0.0      1.889e-02       2.767e-03 
a0   400      s0    350         0.0     1.0      0.0      3.381e-02       4.438e-03 
a0   550      s0    500         0.1     0.0      0.0      1.597e-03       2.197e-04 
a0   550      s0    500         0.4     0.0      0.0      2.336e-02       3.361e-03 
a0   550      s0    500         0.8     0.0      0.0      7.732e-02       1.218e-02 
a0   550      s0    500         1.0     0.0      0.0      1.490e-01       1.846e-02 
a0   550      s0    500         0.0     0.1      0.0      1.575e-04       1.902e-05 
a0   550      s0    500         0.0     0.4      0.0      2.685e-03       3.050e-04 
a0   550      s0    500         0.0     0.8      0.0      6.510e-03       9.989e-04 
a0   550      s0    500         0.0     1.0      0.0      1.195e-02       1.506e-03 
a0   700      s0    650         0.1     0.0      0.0      7.338e-04       1.104e-04 
a0   700      s0    650         0.4     0.0      0.0      1.394e-02       1.838e-03 
a0   700      s0    650         0.8     0.0      0.0      4.040e-02       5.683e-03 
a0   700      s0    650         1.0     0.0      0.0      6.831e-02       7.820e-03 
a0   700      s0    650         0.0     0.1      0.0      4.523e-05       7.655e-06 
a0   700      s0    650         0.0     0.4      0.0      9.916e-04       1.358e-04 
a0   700      s0    650         0.0     0.8      0.0      4.017e-03       4.663e-04 
a0   700      s0    650         0.0     1.0      0.0      3.157e-03       5.211e-04 
a0   800      s0    750         0.1     0.0      0.0      6.014e-04       7.449e-05 
a0   800      s0    750         0.4     0.0      0.0      6.799e-03       1.098e-03 
a0   800      s0    750         0.8     0.0      0.0      3.130e-02       3.803e-03 
a0   800      s0    750         1.0     0.0      0.0      3.228e-02       4.443e-03 
a0   800      s0    750         0.0     0.1      0.0      3.211e-05       4.812e-06 
a0   800      s0    750         0.0     0.4      0.0      6.643e-04       8.533e-05 
a0   800      s0    750         0.0     0.8      0.0      1.460e-03       2.409e-04 
a0   800      s0    750         0.0     1.0      0.0      2.068e-03       3.029e-04 
a0   900      s0    850         0.1     0.0      0.0      3.261e-04       4.905e-05 
a0   900      s0    850         0.4     0.0      0.0      5.533e-03       7.780e-04 
a0   900      s0    850         0.8     0.0      0.0      1.373e-02       2.166e-03 
a0   900      s0    850         1.0     0.0      0.0      1.586e-02       2.501e-03 
a0   900      s0    850         0.0     0.1      0.0      1.987e-05       3.048e-06 
a0   900      s0    850         0.0     0.4      0.0      2.888e-04       4.765e-05 
a0   900      s0    850         0.0     0.8      0.0      8.026e-04       1.396e-04 
a0   900      s0    850         0.0     1.0      0.0      1.185e-03       1.736e-04 
a0   1000    s0    950         0.1     0.0      0.0      2.594e-04       3.426e-05 
a0   1000    s0    950         0.4     0.0      0.0      3.507e-03       5.401e-04
a0   1000    s0    950         0.8     0.0      0.0      8.879e-03       1.468e-03
a0   1000    s0    950         1.0     0.0      0.0      1.017e-02       1.568e-03
a0   1000    s0    950         0.0     0.1      0.0      1.306e-05       2.003e-06
a0   1000    s0    950         0.0     0.4      0.0      2.158e-04       3.317e-05
a0   1000    s0    950         0.0     0.8      0.0      5.567e-04       8.747e-05 
a0   1000    s0    950         0.0     1.0      0.0      5.361e-04       8.855e-05
