Mass[GeV]	rtt	rtc	2b	3b	2b/3b
---------	---	---	--	--	-----
200	0.1	0.1	29598	2698	10.97
200	0.1	0.4	29686	2749	10.80
200	0.1	0.6	29374	2804	10.48
200	0.1	1.0	28738	2921	9.84
200	0.4	0.1	29628	2721	10.89
200	0.4	0.6	29574	2671	11.07
200	0.4	1.0	28967	2753	10.52
200	0.6	0.1	29725	2633	11.29
200	0.6	0.4	29451	2759	10.67
200	0.6	0.6	29388	2747	10.70
200	0.6	1.0	28883	2912	9.92
200	1.0	0.1	29685	2776	10.69
200	1.0	0.4	29509	2810	10.50
200	1.0	0.6	29297	2725	10.75
200	1.0	1.0	28616	2908	9.84
300	0.1	0.1	24607	3326	7.40
300	0.1	0.4	24530	3298	7.44
300	0.1	0.6	24672	3320	7.43
300	0.1	1.0	24181	3439	7.03
300	0.4	0.1	24589	3345	7.35
300	0.4	0.6	24433	3382	7.22
300	0.4	1.0	24438	3296	7.41
300	0.6	0.1	24520	3353	7.31
300	0.6	0.4	24602	3256	7.56
300	0.6	0.6	24815	3318	7.48
300	0.6	1.0	24401	3426	7.12
300	1.0	0.1	24639	3321	7.42
300	1.0	0.4	24517	3325	7.37
300	1.0	0.6	24452	3422	7.15
300	1.0	1.0	24442	3301	7.40
350	0.1	0.1	23027	3549	6.49
350	0.1	0.4	22774	3665	6.21
350	0.1	0.6	22726	3591	6.33
350	0.1	1.0	22787	3676	6.20
350	0.4	0.1	22866	3595	6.36
350	0.4	0.6	22730	3507	6.48
350	0.4	1.0	22831	3574	6.39
350	0.6	0.1	22966	3524	6.52
350	0.6	0.4	22900	3511	6.52
350	0.6	0.6	22939	3511	6.53
350	0.6	1.0	22957	3484	6.59
350	1.0	0.1	22697	3526	6.44
350	1.0	0.4	22744	3524	6.45
350	1.0	0.6	22887	3445	6.64
350	1.0	1.0	22889	3480	6.58
400	0.1	0.1	21273	3731	5.70
400	0.1	0.4	21381	3691	5.79
400	0.1	0.6	21606	3657	5.91
400	0.1	1.0	21466	3767	5.70
400	0.4	0.1	21293	3781	5.63
400	0.4	0.6	21493	3643	5.90
400	0.4	1.0	21497	3721	5.78
400	0.6	0.1	21270	3615	5.88
400	0.6	0.4	21241	3610	5.88
400	0.6	0.6	21399	3701	5.78
400	0.6	1.0	21601	3702	5.83
400	1.0	0.1	21433	3712	5.77
400	1.0	0.4	21467	3670	5.85
400	1.0	0.6	21236	3708	5.73
400	1.0	1.0	21654	3619	5.98
500	0.1	0.1	19230	3816	5.04
500	0.1	0.4	19096	3860	4.95
500	0.1	0.6	19063	3996	4.77
500	0.1	1.0	19291	3991	4.83
500	0.4	0.1	19560	3809	5.14
500	0.4	0.6	19236	3907	4.92
500	0.4	1.0	19467	3846	5.06
500	0.6	0.1	19328	3903	4.95
500	0.6	0.4	19311	3903	4.95
500	0.6	0.6	19246	3841	5.01
500	0.6	1.0	19452	3800	5.12
500	1.0	0.1	19232	3894	4.94
500	1.0	0.4	19431	3746	5.19
500	1.0	0.6	19489	3856	5.05
500	1.0	1.0	19429	3926	4.95
600	0.1	0.1	17698	3985	4.44
600	0.1	0.4	17831	4058	4.39
600	0.1	0.6	17659	4016	4.40
600	0.1	1.0	17863	4028	4.43
600	0.4	0.1	17653	3912	4.51
600	0.4	0.6	17751	3831	4.63
600	0.4	1.0	17775	3900	4.56
600	0.6	0.1	17782	3962	4.49
600	0.6	0.4	17729	4014	4.42
600	0.6	0.6	17758	4084	4.35
600	0.6	1.0	17880	3818	4.68
600	1.0	0.1	17968	3869	4.64
600	1.0	0.4	17968	3915	4.59
600	1.0	0.6	17825	3792	4.70
600	1.0	1.0	18181	3833	4.74
700	0.1	0.1	16441	3937	4.18
700	0.1	0.4	16335	4051	4.03
700	0.1	0.6	16590	3964	4.19
700	0.1	1.0	16783	4143	4.05
700	0.4	0.1	16297	3969	4.11
700	0.4	0.6	16621	3911	4.25
700	0.4	1.0	16856	3930	4.29
700	0.6	0.1	16644	3926	4.24
700	0.6	0.4	16299	3965	4.11
700	0.6	0.6	16607	4062	4.09
700	0.6	1.0	16767	3979	4.21
700	1.0	0.1	16695	3982	4.19
700	1.0	0.4	16730	3980	4.20
700	1.0	0.6	16751	4040	4.15
700	1.0	1.0	16999	3969	4.28
800	0.1	0.1	15343	4075	3.77
800	0.1	0.4	15477	4150	3.73
800	0.1	0.6	15333	4053	3.78
800	0.1	1.0	15743	4157	3.79
800	0.4	0.1	15475	4020	3.85
800	0.4	0.6	15692	4038	3.89
800	0.4	1.0	15734	3956	3.98
800	0.6	0.1	15478	4066	3.81
800	0.6	0.4	15647	3931	3.98
800	0.6	0.6	15680	3990	3.93
800	0.6	1.0	15939	4076	3.91
800	1.0	0.1	15742	4010	3.93
800	1.0	0.4	15891	4090	3.89
800	1.0	0.6	16049	3954	4.06
800	1.0	1.0	16165	3977	4.06
900	0.1	0.1	14680	4107	3.57
900	0.1	0.4	14817	4085	3.63
900	0.1	0.6	14758	4014	3.68
900	0.1	1.0	14887	4029	3.69
900	0.4	0.1	14872	4016	3.70
900	0.4	0.6	14606	4057	3.60
900	0.4	1.0	15252	4015	3.80
900	0.6	0.1	14767	4037	3.66
900	0.6	0.4	14811	4075	3.63
900	0.6	0.6	15030	4002	3.76
900	0.6	1.0	15360	4035	3.81
900	1.0	0.1	14971	4067	3.68
900	1.0	0.4	15284	3840	3.98
900	1.0	0.6	15168	3971	3.82
900	1.0	1.0	15405	4023	3.83
1000	0.1	0.1	14015	4032	3.48
1000	0.1	0.4	13979	4037	3.46
1000	0.1	0.6	13994	4073	3.44
1000	0.1	1.0	14452	4172	3.46
1000	0.4	0.1	14311	3952	3.62
1000	0.4	0.6	14263	3993	3.57
1000	0.4	1.0	14604	3984	3.67
1000	0.6	0.1	14182	4014	3.53
1000	0.6	0.4	14152	3978	3.56
1000	0.6	0.6	14215	4135	3.44
1000	0.6	1.0	14661	4032	3.64
1000	1.0	0.1	14524	4098	3.54
1000	1.0	0.4	14521	4005	3.63
1000	1.0	0.6	14646	4006	3.66
1000	1.0	1.0	15039	4080	3.69
