Mass	rhott	rhotc	nDAS
200	rhott01	rhotc01	347383
200	rhott01	rhotc04	350598
200	rhott01	rhotc06	334911
200	rhott01	rhotc10	335958
200	rhott04	rhotc01	340169
200	rhott04	rhotc04	348332
200	rhott04	rhotc06	349576
200	rhott04	rhotc10	339610
200	rhott06	rhotc01	342829
200	rhott06	rhotc04	335992
200	rhott06	rhotc06	341612
200	rhott06	rhotc10	325192
200	rhott10	rhotc01	345968
200	rhott10	rhotc04	339835
200	rhott10	rhotc06	332761
200	rhott10	rhotc10	334526
300	rhott01	rhotc01	204827
300	rhott01	rhotc04	200726
300	rhott01	rhotc06	197193
300	rhott01	rhotc10	196211
300	rhott04	rhotc01	191415
300	rhott04	rhotc04	191850
300	rhott04	rhotc06	196908
300	rhott04	rhotc10	195902
300	rhott06	rhotc01	202446
300	rhott06	rhotc04	204176
300	rhott06	rhotc06	195704
300	rhott06	rhotc10	204216
300	rhott10	rhotc01	191085
300	rhott10	rhotc04	205939
300	rhott10	rhotc06	201801
300	rhott10	rhotc10	204684
350	rhott01	rhotc01	242490
350	rhott01	rhotc04	250876
350	rhott01	rhotc06	248973
350	rhott01	rhotc10	249658
350	rhott04	rhotc01	238243
350	rhott04	rhotc04	252463
350	rhott04	rhotc06	237493
350	rhott04	rhotc10	247415
350	rhott06	rhotc01	242171
350	rhott06	rhotc04	247102
350	rhott06	rhotc06	235498
350	rhott06	rhotc10	248040
350	rhott10	rhotc01	245139
350	rhott10	rhotc04	246665
350	rhott10	rhotc06	236239
350	rhott10	rhotc10	241828
400	rhott01	rhotc01	290532
400	rhott01	rhotc04	291575
400	rhott01	rhotc06	254537
400	rhott01	rhotc10	286607
400	rhott04	rhotc01	275731
400	rhott04	rhotc04	255785
400	rhott04	rhotc06	252677
400	rhott04	rhotc10	267959
400	rhott06	rhotc01	270643
400	rhott06	rhotc04	282214
400	rhott06	rhotc06	265842
400	rhott06	rhotc10	267154
400	rhott10	rhotc01	254562
400	rhott10	rhotc04	246950
400	rhott10	rhotc06	273300
400	rhott10	rhotc10	290717
500	rhott01	rhotc01	248819
500	rhott01	rhotc04	267694
500	rhott01	rhotc06	272136
500	rhott01	rhotc10	277029
500	rhott04	rhotc01	273856
500	rhott04	rhotc04	253736
500	rhott04	rhotc06	259011
500	rhott04	rhotc10	255562
500	rhott06	rhotc01	284068
500	rhott06	rhotc04	290961
500	rhott06	rhotc06	273501
500	rhott06	rhotc10	272726
500	rhott10	rhotc01	238867
500	rhott10	rhotc04	286993
500	rhott10	rhotc06	274987
500	rhott10	rhotc10	246709
600	rhott01	rhotc01	294003
600	rhott01	rhotc04	264903
600	rhott01	rhotc06	268743
600	rhott01	rhotc10	279147
600	rhott04	rhotc01	274821
600	rhott04	rhotc04	282806
600	rhott04	rhotc06	297007
600	rhott04	rhotc10	289944
600	rhott06	rhotc01	264147
600	rhott06	rhotc04	271603
600	rhott06	rhotc06	270193
600	rhott06	rhotc10	307632
600	rhott10	rhotc01	275553
600	rhott10	rhotc04	318280
600	rhott10	rhotc06	295108
600	rhott10	rhotc10	273675
700	rhott01	rhotc01	258571
700	rhott01	rhotc04	261087
700	rhott01	rhotc06	280928
700	rhott01	rhotc10	269398
700	rhott04	rhotc01	264618
700	rhott04	rhotc04	234331
700	rhott04	rhotc06	269808
700	rhott04	rhotc10	290387
700	rhott06	rhotc01	260028
700	rhott06	rhotc04	288519
700	rhott06	rhotc06	303490
700	rhott06	rhotc10	291067
700	rhott10	rhotc01	263858
700	rhott10	rhotc04	261813
700	rhott10	rhotc06	279202
700	rhott10	rhotc10	269611
800	rhott01	rhotc01	261001
800	rhott01	rhotc04	259407
800	rhott01	rhotc06	269585
800	rhott01	rhotc10	270689
800	rhott04	rhotc01	273977
800	rhott04	rhotc04	264803
800	rhott04	rhotc06	267502
800	rhott04	rhotc10	270971
800	rhott06	rhotc01	272507
800	rhott06	rhotc04	272629
800	rhott06	rhotc06	267507
800	rhott06	rhotc10	269303
800	rhott10	rhotc01	267477
800	rhott10	rhotc04	267728
800	rhott10	rhotc06	262933
800	rhott10	rhotc10	278841
900	rhott01	rhotc01	262600
900	rhott01	rhotc04	287833
900	rhott01	rhotc06	277814
900	rhott01	rhotc10	238488
900	rhott04	rhotc01	251331
900	rhott04	rhotc04	285518
900	rhott04	rhotc06	244178
900	rhott04	rhotc10	267774
900	rhott06	rhotc01	256158
900	rhott06	rhotc04	276131
900	rhott06	rhotc06	277288
900	rhott06	rhotc10	266238
900	rhott10	rhotc01	260880
900	rhott10	rhotc04	248870
900	rhott10	rhotc06	270365
900	rhott10	rhotc10	271105
1000	rhott01	rhotc01	277467
1000	rhott01	rhotc04	243620
1000	rhott01	rhotc06	252078
1000	rhott01	rhotc10	268981
1000	rhott04	rhotc01	279824
1000	rhott04	rhotc04	251455
1000	rhott04	rhotc06	258080
1000	rhott04	rhotc10	304982
1000	rhott06	rhotc01	244194
1000	rhott06	rhotc04	271215
1000	rhott06	rhotc06	262753
1000	rhott06	rhotc10	275600
1000	rhott10	rhotc01	268828
1000	rhott10	rhotc04	289723
1000	rhott10	rhotc06	288945
1000	rhott10	rhotc10	290207
