Mass	rhott	rhotc	nDAS
200	rhott01	rhotc01	322163
200	rhott01	rhotc04	304495
200	rhott01	rhotc06	342121
200	rhott01	rhotc10	333321
200	rhott04	rhotc01	329570
200	rhott04	rhotc04	326022
200	rhott04	rhotc06	351982
200	rhott04	rhotc10	293729
200	rhott06	rhotc01	335893
200	rhott06	rhotc04	368964
200	rhott06	rhotc06	334748
200	rhott06	rhotc10	308980
200	rhott10	rhotc01	375594
200	rhott10	rhotc04	356953
200	rhott10	rhotc06	345613
200	rhott10	rhotc10	345414
300	rhott01	rhotc01	209496
300	rhott01	rhotc04	227142
300	rhott01	rhotc06	219958
300	rhott01	rhotc10	221028
300	rhott04	rhotc01	228888
300	rhott04	rhotc04	227690
300	rhott04	rhotc06	254450
300	rhott04	rhotc10	214857
300	rhott06	rhotc01	223796
300	rhott06	rhotc04	208708
300	rhott06	rhotc06	217575
300	rhott06	rhotc10	228380
300	rhott10	rhotc01	246742
300	rhott10	rhotc04	230609
300	rhott10	rhotc06	228841
300	rhott10	rhotc10	235715
350	rhott01	rhotc01	236753
350	rhott01	rhotc04	251814
350	rhott01	rhotc06	249508
350	rhott01	rhotc10	238126
350	rhott04	rhotc01	239966
350	rhott04	rhotc04	212601
350	rhott04	rhotc06	212249
350	rhott04	rhotc10	227503
350	rhott06	rhotc01	226688
350	rhott06	rhotc04	238021
350	rhott06	rhotc06	238345
350	rhott06	rhotc10	204217
350	rhott10	rhotc01	228351
350	rhott10	rhotc04	241466
350	rhott10	rhotc06	212591
350	rhott10	rhotc10	208977
400	rhott01	rhotc01	228237
400	rhott01	rhotc04	220509
400	rhott01	rhotc06	224939
400	rhott01	rhotc10	229034
400	rhott04	rhotc01	224322
400	rhott04	rhotc04	230116
400	rhott04	rhotc06	224714
400	rhott04	rhotc10	228348
400	rhott06	rhotc01	227996
400	rhott06	rhotc04	230860
400	rhott06	rhotc06	223089
400	rhott06	rhotc10	236571
400	rhott10	rhotc01	234025
400	rhott10	rhotc04	222292
400	rhott10	rhotc06	229693
400	rhott10	rhotc10	232131
500	rhott01	rhotc01	221908
500	rhott01	rhotc04	200636
500	rhott01	rhotc06	208072
500	rhott01	rhotc10	228877
500	rhott04	rhotc01	195843
500	rhott04	rhotc04	210820
500	rhott04	rhotc06	214152
500	rhott04	rhotc10	188181
500	rhott06	rhotc01	209604
500	rhott06	rhotc04	207616
500	rhott06	rhotc06	212655
500	rhott06	rhotc10	186983
500	rhott10	rhotc01	207792
500	rhott10	rhotc04	203161
500	rhott10	rhotc06	238624
500	rhott10	rhotc10	196499
600	rhott01	rhotc01	261573
600	rhott01	rhotc04	268351
600	rhott01	rhotc06	275413
600	rhott01	rhotc10	267393
600	rhott04	rhotc01	273217
600	rhott04	rhotc04	268852
600	rhott04	rhotc06	267852
600	rhott04	rhotc10	263016
600	rhott06	rhotc01	265419
600	rhott06	rhotc04	275873
600	rhott06	rhotc06	257770
600	rhott06	rhotc10	264757
600	rhott10	rhotc01	267109
600	rhott10	rhotc04	282586
600	rhott10	rhotc06	272793
600	rhott10	rhotc10	269878
700	rhott01	rhotc01	228741
700	rhott01	rhotc04	231572
700	rhott01	rhotc06	229988
700	rhott01	rhotc10	233674
700	rhott04	rhotc01	229195
700	rhott04	rhotc04	230150
700	rhott04	rhotc06	231941
700	rhott04	rhotc10	231616
700	rhott06	rhotc01	231562
700	rhott06	rhotc04	237342
700	rhott06	rhotc06	228129
700	rhott06	rhotc10	239271
700	rhott10	rhotc01	233302
700	rhott10	rhotc04	242158
700	rhott10	rhotc06	238957
700	rhott10	rhotc10	233232
800	rhott01	rhotc01	234789
800	rhott01	rhotc04	230537
800	rhott01	rhotc06	223885
800	rhott01	rhotc10	222339
800	rhott04	rhotc01	215343
800	rhott04	rhotc04	225895
800	rhott04	rhotc06	219029
800	rhott04	rhotc10	203110
800	rhott06	rhotc01	243785
800	rhott06	rhotc04	231375
800	rhott06	rhotc06	232308
800	rhott06	rhotc10	232762
800	rhott10	rhotc01	237306
800	rhott10	rhotc04	204082
800	rhott10	rhotc06	227394
800	rhott10	rhotc10	219879
900	rhott01	rhotc01	230345
900	rhott01	rhotc04	215237
900	rhott01	rhotc06	236187
900	rhott01	rhotc10	230786
900	rhott04	rhotc01	250540
900	rhott04	rhotc04	272401
900	rhott04	rhotc06	227221
900	rhott04	rhotc10	207741
900	rhott06	rhotc01	223037
900	rhott06	rhotc04	222815
900	rhott06	rhotc06	222995
900	rhott06	rhotc10	224287
900	rhott10	rhotc01	222603
900	rhott10	rhotc04	218651
900	rhott10	rhotc06	214061
900	rhott10	rhotc10	212099
1000	rhott01	rhotc01	223349
1000	rhott01	rhotc04	230335
1000	rhott01	rhotc06	224055
1000	rhott01	rhotc10	228602
1000	rhott04	rhotc01	222340
1000	rhott04	rhotc04	222207
1000	rhott04	rhotc06	226837
1000	rhott04	rhotc10	222360
1000	rhott06	rhotc01	222162
1000	rhott06	rhotc04	225097
1000	rhott06	rhotc06	220479
1000	rhott06	rhotc10	232942
1000	rhott10	rhotc01	231123
1000	rhott10	rhotc04	225606
1000	rhott10	rhotc06	236380
1000	rhott10	rhotc10	239919
