Mass	rhott	rhotc	nDAS
200	rhott01	rhotc01	766462
200	rhott01	rhotc04	800870
200	rhott01	rhotc06	758923
200	rhott01	rhotc10	712344
200	rhott04	rhotc01	732755
200	rhott04	rhotc04	798562
200	rhott04	rhotc06	756181
200	rhott04	rhotc10	775874
200	rhott06	rhotc01	757196
200	rhott06	rhotc04	751964
200	rhott06	rhotc06	745104
200	rhott06	rhotc10	793602
200	rhott10	rhotc01	781357
200	rhott10	rhotc04	800893
200	rhott10	rhotc06	746013
200	rhott10	rhotc10	710282
300	rhott01	rhotc01	492829
300	rhott01	rhotc04	521060
300	rhott01	rhotc06	527229
300	rhott01	rhotc10	505212
300	rhott04	rhotc01	472625
300	rhott04	rhotc04	521688
300	rhott04	rhotc06	497882
300	rhott04	rhotc10	499137
300	rhott06	rhotc01	495202
300	rhott06	rhotc04	477882
300	rhott06	rhotc06	500830
300	rhott06	rhotc10	457449
300	rhott10	rhotc01	494510
300	rhott10	rhotc04	488798
300	rhott10	rhotc06	531069
300	rhott10	rhotc10	499349
350	rhott01	rhotc01	497499
350	rhott01	rhotc04	515561
350	rhott01	rhotc06	490807
350	rhott01	rhotc10	508203
350	rhott04	rhotc01	511223
350	rhott04	rhotc04	496340
350	rhott04	rhotc06	547351
350	rhott04	rhotc10	503550
350	rhott06	rhotc01	494855
350	rhott06	rhotc04	475779
350	rhott06	rhotc06	496081
350	rhott06	rhotc10	481028
350	rhott10	rhotc01	492331
350	rhott10	rhotc04	516001
350	rhott10	rhotc06	501495
350	rhott10	rhotc10	519203
400	rhott01	rhotc01	507087
400	rhott01	rhotc04	504158
400	rhott01	rhotc06	497220
400	rhott01	rhotc10	493126
400	rhott04	rhotc01	480392
400	rhott04	rhotc04	508110
400	rhott04	rhotc06	487190
400	rhott04	rhotc10	495991
400	rhott06	rhotc01	495330
400	rhott06	rhotc04	502253
400	rhott06	rhotc06	506694
400	rhott06	rhotc10	505450
400	rhott10	rhotc01	500355
400	rhott10	rhotc04	491588
400	rhott10	rhotc06	502154
400	rhott10	rhotc10	512892
500	rhott01	rhotc01	491206
500	rhott01	rhotc04	488877
500	rhott01	rhotc06	491680
500	rhott01	rhotc10	487343
500	rhott04	rhotc01	483411
500	rhott04	rhotc04	492049
500	rhott04	rhotc06	491655
500	rhott04	rhotc10	487210
500	rhott06	rhotc01	495610
500	rhott06	rhotc04	487063
500	rhott06	rhotc06	493607
500	rhott06	rhotc10	481926
500	rhott10	rhotc01	490348
500	rhott10	rhotc04	480445
500	rhott10	rhotc06	489925
500	rhott10	rhotc10	490096
600	rhott01	rhotc01	504537
600	rhott01	rhotc04	579667
600	rhott01	rhotc06	542162
600	rhott01	rhotc10	575637
600	rhott04	rhotc01	512357
600	rhott04	rhotc04	540506
600	rhott04	rhotc06	518363
600	rhott04	rhotc10	541632
600	rhott06	rhotc01	501511
600	rhott06	rhotc04	513341
600	rhott06	rhotc06	562354
600	rhott06	rhotc10	586392
600	rhott10	rhotc01	512623
600	rhott10	rhotc04	526640
600	rhott10	rhotc06	550523
600	rhott10	rhotc10	479981
700	rhott01	rhotc01	503851
700	rhott01	rhotc04	514666
700	rhott01	rhotc06	507628
700	rhott01	rhotc10	511930
700	rhott04	rhotc01	505963
700	rhott04	rhotc04	506693
700	rhott04	rhotc06	500327
700	rhott04	rhotc10	502793
700	rhott06	rhotc01	492092
700	rhott06	rhotc04	496644
700	rhott06	rhotc06	499927
700	rhott06	rhotc10	503515
700	rhott10	rhotc01	515445
700	rhott10	rhotc04	520068
700	rhott10	rhotc06	504129
700	rhott10	rhotc10	519861
800	rhott01	rhotc01	498040
800	rhott01	rhotc04	508570
800	rhott01	rhotc06	469358
800	rhott01	rhotc10	521117
800	rhott04	rhotc01	495573
800	rhott04	rhotc04	510850
800	rhott04	rhotc06	491125
800	rhott04	rhotc10	495404
800	rhott06	rhotc01	467472
800	rhott06	rhotc04	500100
800	rhott06	rhotc06	486600
800	rhott06	rhotc10	484880
800	rhott10	rhotc01	489351
800	rhott10	rhotc04	488583
800	rhott10	rhotc06	502563
800	rhott10	rhotc10	533606
900	rhott01	rhotc01	486875
900	rhott01	rhotc04	487000
900	rhott01	rhotc06	492945
900	rhott01	rhotc10	511166
900	rhott04	rhotc01	492574
900	rhott04	rhotc04	505470
900	rhott04	rhotc06	493209
900	rhott04	rhotc10	503113
900	rhott06	rhotc01	491289
900	rhott06	rhotc04	492385
900	rhott06	rhotc06	502375
900	rhott06	rhotc10	501886
900	rhott10	rhotc01	501087
900	rhott10	rhotc04	500863
900	rhott10	rhotc06	513216
900	rhott10	rhotc10	507263
1000	rhott01	rhotc01	501214
1000	rhott01	rhotc04	504316
1000	rhott01	rhotc06	460194
1000	rhott01	rhotc10	471202
1000	rhott04	rhotc01	526146
1000	rhott04	rhotc04	487091
1000	rhott04	rhotc06	473456
1000	rhott04	rhotc10	477507
1000	rhott06	rhotc01	504945
1000	rhott06	rhotc04	467570
1000	rhott06	rhotc06	467290
1000	rhott06	rhotc10	482404
1000	rhott10	rhotc01	524608
1000	rhott10	rhotc04	529172
1000	rhott10	rhotc06	510067
1000	rhott10	rhotc10	466717
