PID     Mass        rhotu    rhotc    rhott         cross_section        Err_cross_section
a0      200          0.0      0.1      0.0           2.712e-04                3.186e-05
a0      200          0.0      0.4      0.0           4.790e-03                5.105e-04
a0      200          0.0      0.8      0.0           1.896e-02                2.308e-03
a0      200          0.0      1.0      0.0           3.186e-02                3.947e-03
a0      200          0.1      0.0      0.0           2.043e-03                2.856e-04
a0      200          0.4      0.0      0.0           3.625e-02                4.689e-03
a0      200          0.8      0.0      0.0           1.904e-01                2.366e-02
a0      200          1.0      0.0      0.0           3.698e-01                4.598e-02
a0      300          0.0      0.8      0.0           2.319e-02                2.554e-03
a0      300          0.0      0.1      0.0           2.633e-04                3.623e-05
a0      300          0.0      0.4      0.0           4.866e-03                5.918e-04
s0      350          0.8      0.0      0.0           1.890e-01                2.050e-02
a0      300          0.0      1.0      0.0           3.105e-02                3.927e-03
a0      300          0.8      0.0      0.0           2.283e-01                2.699e-02
a0      300          0.1      0.0      0.0           2.795e-03                3.411e-04
a0      300          0.4      0.0      0.0           3.991e-02                5.900e-03
a0      300          1.0      0.0      0.0           3.484e-01                4.613e-02
a0      350          0.0      0.1      0.0           2.101e-04                2.773e-05
a0      350          0.0      0.4      0.0           3.674e-03                4.558e-04
a0      350          0.0      0.8      0.0           1.341e-02                1.770e-03
a0      350          0.0      1.0      0.0           2.447e-02                2.859e-03
a0      350          0.1      0.0      0.0           2.742e-03                2.768e-04
a0      350          0.4      0.0      0.0           3.649e-02                4.456e-03
a0      350          0.8      0.0      0.0           1.845e-01                2.079e-02
a0      350          1.0      0.0      0.0           2.592e-01                3.370e-02
s0      400          0.0      1.0      0.0           1.299e-02                2.047e-03
s0      400          0.0      0.8      0.0           9.202e-03                1.267e-03
s0      400          0.0      0.1      0.0           1.602e-04                1.985e-05
a0      400          0.0      0.1      0.0           1.568e-04                2.024e-05
a0      400          0.4      0.0      0.0           2.743e-02                3.566e-03
a0      400          0.0      0.8      0.0           9.325e-03                1.284e-03
s0      400          0.0      0.4      0.0           2.288e-03                3.286e-04
s0      350          1.0      0.0      0.0           2.823e-01                3.590e-02
s0      350          0.4      0.0      0.0           3.287e-02                4.269e-03
s0      350          0.1      0.0      0.0           1.970e-03                2.514e-04
a0      400          0.0      0.4      0.0           2.441e-03                3.219e-04
a0      400          0.1      0.0      0.0           1.663e-03                2.170e-04
a0      400          0.0      1.0      0.0           1.591e-02                2.099e-03
